nama_prov,value_prov,nama_kab,value_kab,variable_kec,nama_kec,value_kec,kab,kec
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"TEUPAH SELATAN",1101010,01,010
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"SIMEULUE TIMUR",1101020,01,020
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"TEUPAH BARAT",1101021,01,021
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"SIMEULUE TENGAH",1101030,01,030
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"TELUK DALAM",1101031,01,031
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,SALANG,1101040,01,040
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,"SIMEULUE BARAT",1101050,01,050
"NANGGROE ACEH DARUSSALAM",11,SIMEULUE,1101,SUB_DISTRI,ALAFAN,1101051,01,051
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"PULAU BANYAK",1102010,02,010
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,SINGKIL,1102020,02,020
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"SINGKIL UTARA",1102021,02,021
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"KUALA BARU",1102022,02,022
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"SIMPANG KANAN",1102030,02,030
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"GUNUNG MERIAH",1102031,02,031
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"DANAU PARIS",1102032,02,032
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,SURO,1102033,02,033
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,SINGKOHOR,1102042,02,042
"NANGGROE ACEH DARUSSALAM",11,"ACEH SINGKIL",1102,SUB_DISTRI,"KOTA BAHARU",1102043,02,043
"NANGGROE ACEH DARUSSALAM",11,"ACEH SELATAN",1103,SUB_DISTRI,TRUMON,1103010,03,010
"NANGGROE ACEH DARUSSALAM",11,"ACEH SELATAN",1103,SUB_DISTRI,"TRUMON TIMUR",1103011,03,011
