"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"1","1","SD NEGERI JAGIR I393","20539097","SD","Negeri","18 Mar 2022 08:41:05",19,421,12,16,6,11,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"2","2","SD NEGERI NGAGEL I / 394","20533218","SD","Negeri","10 Mar 2022 09:11:11",26,349,12,13,6,10,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"3","3","SD NEGERI NGAGELREJO I396","20533220","SD","Negeri","14 Mar 2022 10:14:30",17,1.286,39,50,11,21,2,2,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"4","4","SD NEGERI NGAGELREJO III398","20533223","SD","Negeri","21 Feb 2022 09:24:59",6,340,12,19,5,12,0,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"5","5","SD NEGERI NGAGELREJO V400 SURABAYA","20533193","SD","Negeri","15 Mar 2022 15:20:59",32,382,12,14,4,12,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"6","6","SD NEGERI SAWUNGGALING I 382","20533242","SD","Negeri","12 Mar 2022 10:56:14",34,609,21,27,6,33,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"7","7","SD NEGERI SAWUNGGALING VII388","20533246","SD","Negeri","07 Mar 2022 14:06:05",22,406,13,15,5,8,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"8","8","SD NEGERI SAWUNGGALING VIII389","20533258","SD","Negeri","15 Mar 2022 12:20:55",29,396,12,14,4,7,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"9","9","SD NEGERI WONOKROMO I390","20532308","SD","Negeri","15 Mar 2022 09:07:25",34,485,18,19,8,12,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"10","10","SD NEGERI WONOKROMO III392","20532310","SD","Negeri","16 Mar 2022 07:22:29",8,425,13,16,6,10,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"11","11","SD AISYAH","20532007","SD","Swasta","11 Mar 2022 10:11:58",9,71,6,9,2,6,0,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"12","12","SD AL FALAH","20531846","SD","Swasta","16 Mar 2022 09:49:03",17,688,25,38,5,29,3,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"13","13","SD AL FURQAAN","20531848","SD","Swasta","07 Mar 2022 08:52:15",13,122,6,7,3,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"14","14","SD BUDI DHARMA","20531905","SD","Swasta","23 Feb 2022 08:19:40",7,72,6,9,3,7,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"15","15","SD DAWATUL HASANAH","20531922","SD","Swasta","11 Mar 2022 09:22:00",6,80,6,8,1,6,0,0,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"16","16","SD DEWI SARTIKA","20531921","SD","Swasta","12 Feb 2022 09:37:21",8,221,6,7,1,6,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"17","17","SD HANG TUAH I","20533040","SD","Swasta","10 Mar 2022 21:11:16",7,256,11,17,4,12,3,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"18","18","SD HASYIM ASYARI","20533042","SD","Swasta","02 Mar 2022 09:19:29",9,136,6,7,1,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"19","19","SD HIDAYATUL MUSTAQIM","20533055","SD","Swasta","15 Mar 2022 20:37:07",19,130,6,9,3,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"20","20","SD ISTIQBAL","20532986","SD","Swasta","07 Feb 2022 11:39:50",11,131,6,9,2,5,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"21","21","SD KHADIJAH","20533126","SD","Swasta","11 Mar 2022 13:16:09",16,631,21,32,11,24,3,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"22","22","SD MUHAMMADIYAH 24","20533066","SD","Swasta","17 Mar 2022 10:52:36",22,378,16,20,6,16,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"23","23","SD MUHAMMADIYAH 6 GADUNG","20533069","SD","Swasta","10 Mar 2022 13:49:39",14,413,16,24,8,18,3,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"24","24","SD MUHAMMADIYAH 7","20533070","SD","Swasta","02 Feb 2022 15:38:45",18,104,6,8,2,6,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"25","25","SD PAKIS GELORA","20533086","SD","Swasta","08 Mar 2022 08:32:40",18,64,6,7,1,6,0,0,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"26","26","SD PROKLAMASI","20532845","SD","Swasta","22 Jan 2022 00:41:39",5,76,6,8,2,6,0,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"27","27","SD PUTRA WIJAYA I","20532860","SD","Swasta","10 Mar 2022 12:19:16",14,163,6,9,3,6,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"28","28","SD PUTRA WIJAYA IV","20532861","SD","Swasta","07 Mar 2022 12:28:42",13,118,6,8,2,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"29","29","SD R.A. KARTINI","20532862","SD","Swasta","08 Feb 2022 10:02:42",1,135,6,7,4,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"30","30","SD SANTO YOSEF","20532850","SD","Swasta","08 Mar 2022 12:57:35",8,297,12,17,7,17,2,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"31","31","SD TUNAS BANGSA","20532844","SD","Swasta","13 Mar 2022 19:21:55",8,110,6,6,1,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"32","32","SDS KRISTEN AGAPE","69786250","SD","Swasta","02 Feb 2022 09:54:05",2,50,6,6,1,6,1,1,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"33","Total","Total","Total","Total","Total","Total",472,9.545,361,475,134,348,43,31,"Data Sekolah Kec. Wonokromo - Dapodikdasmen.html"
"34","1","SD NEGERI BENDUL MERISI 408","20532971","SD","Negeri","15 Mar 2022 08:28:17",35,378,17,15,5,6,0,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"35","2","SD NEGERI JEMUR WONOSARI I417","20533513","SD","Negeri","10 Mar 2022 08:38:56",13,410,15,19,7,21,2,2,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"36","3","SD NEGERI JEMUR WONOSARI III","20533515","SD","Negeri","08 Mar 2022 11:02:53",10,36,4,5,4,6,0,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"37","4","SD NEGERI MARGOREJO I 403","20533209","SD","Negeri","11 Mar 2022 10:59:12",16,594,18,21,7,15,1,1,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
"38","5","SD NEGERI MARGOREJO III405","20533210","SD","Negeri","17 Mar 2022 13:25:14",30,595,24,30,7,13,3,2,"Data Sekolah Kec. Wonocolo - Dapodikdasmen.html"
