"","No","Nama Sekolah","NPSN","BP","Status","Last Sync","Jml Sync","PD","Rombel","Guru","Pegawai","R. Kelas","R. Lab","R. Perpus","sumber"
"1","1","TK AL-FATTAH ROHIMIYAH","69868422","TK","Swasta","07 Mar 2022 10:15:25",12,29,2,6,1,3,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"2","2","TK ANUGERAH","69868421","TK","Swasta","27 Feb 2022 16:04:45",4,21,2,1,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"3","3","TK ISLAM NURUL IHYA","69919236","TK","Swasta","18 Jan 2022 09:13:48",3,12,2,1,0,4,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"4","4","TK IT YAPURA","69918909","TK","Swasta","23 Jan 2022 16:22:35",9,37,3,3,1,3,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"5","5","TK SATU ATAP SDN CINANGNENG 03","69868423","TK","Swasta","26 Feb 2022 13:19:12",6,28,2,2,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"6","6","TKIT AL AZKIA","69987264","TK","Swasta","31 Jan 2022 07:27:15",3,22,2,2,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"7","7","TKIT PRATIWI","69971858","TK","Swasta","16 Mar 2022 21:44:00",7,35,2,3,0,5,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"8","8","KB AKHLAKUL KARIMAH","69868880","KB","Swasta","03 Mar 2022 20:48:43",4,20,2,1,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"9","9","KB AL-AMIN KHOERUL UMMAH","69868891","KB","Swasta","09 Jan 2022 22:09:00",4,27,2,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"10","10","KB AL-FAJRI","69868890","KB","Swasta","19 Oct 2021 09:55:03",0,0,0,1,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"11","11","KB AL-HUDA","70013535","KB","Swasta","-",0,0,0,0,0,0,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"12","12","KB AL-MIZAN","70009625","KB","Swasta","16 Mar 2022 23:15:10",8,32,2,2,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"13","13","KB AL-MUHAJIRIN","69868879","KB","Swasta","05 Mar 2022 14:52:14",11,27,2,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"14","14","KB AL-PARIZ","69868868","KB","Swasta","23 Feb 2022 18:48:41",5,28,2,3,1,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"15","15","KB AN-NAML","69868869","KB","Swasta","27 Feb 2022 11:07:43",3,37,2,2,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"16","16","KB ARAHMANIAH","69868878","KB","Swasta","15 Jan 2022 01:07:25",25,37,2,3,2,2,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
"17","17","KB AS-SHIDIQ","69868883","KB","Swasta","24 Feb 2022 08:11:01",6,29,2,5,1,1,0,0,"Data Peserta Didik Kec. Tenjolaya - Dapodikdasmen.html"
