"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Klasik","Rp43,100","125 g"
"2","Tropicana Slim Pemanis Diabtx","Rp45,500","100 g"
"3","Tropicana Slim Pengganti Kecap Manis","Rp32,100","200 ml"
"4","Tropicana Slim Kecap Asin","Rp28,800","200 ml"
"5","Tropicana Slim Dengan Madu Tanpa Gula","Rp71,500","350 ml"
"6","Tropicana Slim Santan","Rp18,200","5 x 20 g"
"7","Tropicana Slim Selai Cokelat","Rp90,300","300 g"
"8","Tropicana Slim Kental Manis","Rp29,500","150 ml"
"9","Tropicana Slim Minyak Goreng Jagung","Rp84,700","1 L"
"10","Tropicana Slim Minyak Goreng Jagung","Rp82,300","1 L"
"11","Tropicana Slim Susu Skim Kopi","Rp108,800","500 g"
"12","Tropicana Slim Susu Skim Original","Rp183,900","1 kg"
"13","Tropicana Slim Susu Rendah Lemak","Rp28,100","180 g"
"14","Tropicana Slim 3-in-1 Cafe Latte","Rp32,400","140 g"
"15","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp32,600","180 g"
"16","Tropicana Slim Sirup Bebas Gula Rasa Leci","Rp33,200","750 ml"
"17","Tropicana Slim Susu Rasa Vanila Rendah Lemak","Rp67,300","500 g"
"18","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp108,800","500 g"
"19","Tropicana Slim Extra Virgin Olive Oil","Rp88,200","500 ml"
"20","Tropicana Slim Sunflower Oil","Rp65,900","946 ml"
"21","Tropicana Slim Minyak Goreng Kanola","Rp67,000","946 ml"
"22","Tropicana Slim Sirup Bebas Gula Rasa Cocopandan","Rp33,200","750 ml"
"23","Tropicana Slim New Formula Dibuat dengan Susu Skim Rasa Cokelat","Rp108,800","500 g"
"24","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp16,000","140 g"
"25","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Amerika","Rp14,400","140 g"
"26","L-Men Lose Weight Rasa Cokelat Sereal","Rp112,200","300 g"
"27","L-Men Daily Formula Whey Protein Rasa Cokelat Hitam","Rp50,500","250 g"
"28","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp123,400","500 g"
"29","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp151,400","500 g"
"30","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp80,800","250 g"
"31","HiLo School Susu Rasa Vanila","Rp41,000","350 g"
"32","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp108,800","750 g"
"33","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp75,200","500 g"
"34","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp75,200","500 g"
"35","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp38,700","250 g"
"36","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp108,800","750 g"
"37","HiLo Active Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp30,900","250 g"
"38","HiLo Susu Bubuk Tinggi Kalsium Rendah Lemak Rasa Cokelat Belgia","Rp19,100","4 x 30 g"
"39","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp87,500","750 g"
"40","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp60,600","500 g"
"41","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp64,000","500 g"
"42","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp29,200","200 g"
"43","HiLo Susu Bubuk Rasa Kacang Hijau","Rp39,300","200 g"
"44","HiLo Susu Rasa Cokelat Kacang Hazel","Rp23,600","10 x 14 g"
"45","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp75,200","500 g"
"46","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp38,700","250 g"
"47","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila VegiBeri","Rp75,200","500 g"
"48","HiLo Teen Susu Bubuk Rasa Vanila Karamel","Rp108,800","750 g"
"49","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp98,700","750 g"
"50","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp69,600","500 g"
"51","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Belgia","Rp44,900","10 x 30 g"
"52","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp33,700","200 g"
"53","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp71,800","500 g"
"54","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat 51 Tahun","Rp35,900","250 g"
"55","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp75,200","500 g"
"56","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium Kurang Lemak 51 Tahun","Rp98,700","750 g"
"57","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tawar 51 Tahun","Rp33,700","200 g"
