"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Diabtx","Rp91,500","200 g"
"2","Tropicana Slim Pemanis Diabtx","Rp51,500","100 g"
"3","Tropicana Slim Pemanis Stevia","Rp58,000","130 g"
"4","Tropicana Slim Pemanis Klasik","Rp79,200","250 g"
"5","Tropicana Slim Pemanis Klasik","Rp26,000","62.5 g"
"6","Tropicana Slim Pemanis Klasik","Rp48,000","125 g"
"7","Tropicana Slim Pemanis Diabtx","Rp27,000","50 g"
"8","Tropicana Slim Pemanis Klasik","Rp32,500","100 g"
"9","Tropicana Slim Pemanis dengan Ekstrak Teh Hijau","Rp29,000","62.5 g"
"10","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp72,500","350 ml"
"11","Tropicana Slim Pengganti Kecap Manis","Rp32,500","200 ml"
"12","Tropicana Slim Nutty Chocolate","Rp43,500","200 g"
"13","Tropicana Slim Dengan Madu Tanpa Gula","Rp67,300","350 ml"
"14","Tropicana Slim Kecap Asin","Rp30,000","200 ml"
"15","Tropicana Slim Kue Keju Hokaido","Rp24,500","100 g"
"16","Tropicana Slim Madu Pemanis","Rp49,000","1 packet"
"17","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp25,500","5 x 20 g"
"18","Tropicana Slim Susu Skim Kopi","Rp124,900","500 g"
"19","Tropicana Slim Minyak Goreng Kanola","Rp78,500","946 ml"
"20","Tropicana Slim 3-in-1 Cafe Latte","Rp36,000","140 g"
"21","Tropicana Slim Minyak Goreng Jagung","Rp94,000","1 L"
"22","Tropicana Slim Santan","Rp18,500","5 x 20 g"
"23","Tropicana Slim Susu Skim Original","Rp208,200","1 kg"
"24","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp124,900","500 g"
"25","Tropicana Slim Selai Stroberi","Rp79,600","375 g"
"26","Tropicana Slim Sirup Bebas Gula Rasa Cocopandan","Rp33,900","750 ml"
"27","Tropicana Slim Sweet Orange","Rp24,000","60 g"
"28","Tropicana Slim Sirup Bebas Gula Rasa Leci","Rp38,500","750 ml"
"29","Tropicana Slim Susu Rendah Lemak","Rp32,900","180 g"
"30","Tropicana Slim Susu Rendah Lemak Tinggi Serat Rasa Coklat","Rp124,900","500 g"
"31","Tropicana Slim Sirup Bebas Gula Rasa Jeruk","Rp33,900","750 ml"
"32","Tropicana Slim New Formula Dibuat dengan Susu Skim Rasa Cokelat","Rp124,900","500 g"
"33","Tropicana Slim Kopi Putih","Rp24,000","80 g"
"34","Tropicana Slim Selai Cokelat","Rp85,700","300 g"
"35","Tropicana Slim Sunflower Oil","Rp96,500","946 ml"
"36","Tropicana Slim Oat Drink Vanillicious","Rp8,700","190 g"
"37","Tropicana Slim Kental Manis","Rp32,900","150 ml"
"38","Tropicana Slim Susu Rasa Vanila Rendah Lemak","Rp79,600","500 g"
"39","Tropicana Slim Minyak Goreng Jagung","Rp95,000","1 L"
"40","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp33,000","180 g"
"41","Tropicana Slim Extra Virgin Olive Oil","Rp103,000","500 ml"
"42","Tropicana Slim Sweetener Jahe","Rp49,000","100 g"
"43","Nutrifood Tropicana Slim Avocado Coffee","Rp16,500","14 g"
"44","Nutrifood Tropicana Slim ","Rp24,000","71 g"
"45","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Brasil","Rp17,500","10 x 11 g"
"46","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp10,000","5 x 14 g"
"47","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp17,500","140 g"
"48","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Amerika","Rp15,800","140 g"
"49","NutriSari Jeruk Jeju Minuman Serbuk","Rp17,500","140 g"
"50","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp45,000","500 g"
"51","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp44,500","500 g"
"52","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis","Rp24,500","250 g"
"53","NutriSari Smoothie Mangga","Rp7,700","200 ml"
"54","NutriSari Minuman Serbuk Instan Rasa Jeruk Nipis Australia","Rp17,900","110 g"
"55","NutriSari Minuman Campuran Jeruk & Madu","Rp7,000","200 ml"
"56","L-Men Daily Formula Whey Protein Rasa Cokelat Hitam","Rp58,800","250 g"
"57","L-Men Lose Weight Rasa Cokelat Sereal","Rp134,700","300 g"
"58","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp142,100","500 g"
"59","L-Men Minuman Susu Cokelat Rendah Lemak dengan Protein Whey","Rp10,900","200 ml"
"60","L-Men Proteinmix 3in1 dengan Kopi","Rp55,500","198 g"
"61","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp171,500","500 g"
"62","L-Men L-Men Platinum Choco Latte","Rp110,200","6 x 33.5 g"
"63","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp70,900","225 g"
"64","L-Men Whey Protein Bar Rasa Crunchy Coklat","Rp8,900","25 g"
"65","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp91,900","250 g"
"66","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Pisang untuk Tambahan Olahraga","Rp70,900","225 g"
"67","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp124,900","750 g"
"68","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp48,900","10 x 35 g"
"69","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp85,700","500 g"
"70","HiLo Teen Minuman Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp5,900","200 ml"
"71","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp44,100","250 g"
"72","HiLo School Susu Rasa Vanila","Rp48,900","350 g"
"73","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp44,400","250 g"
"74","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp89,900","500 g"
"75","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp124,900","750 g"
"76","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp75,900","500 g"
"77","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp69,900","500 g"
"78","HiLo Active Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp36,700","250 g"
"79","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila","Rp34,900","200 g"
"80","HiLo Susu Bubuk Tinggi Kalsium Rendah Lemak Rasa Cokelat Belgia","Rp22,600","4 x 30 g"
"81","HiLo Teen Susu Bubuk Rasa Vanila Karamel","Rp124,900","750 g"
"82","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Madu","Rp85,700","500 g"
"83","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Yogurt Pisang","Rp44,100","250 g"
"84","HiLo Susu Rasa Cokelat Kacang Hazel","Rp26,900","10 x 14 g"
"85","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp44,100","250 g"
"86","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila VegiBeri","Rp85,700","500 g"
"87","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tiramisu","Rp7,300","200 ml"
"88","HiLo School Minuman Susu Cokelat","Rp7,300","200 ml"
"89","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp83,300","500 g"
"90","HiLo Platinum Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Swiss","Rp99,900","420 g"
"91","HiLo School Minuman Susu Tinggi Kalsium Kurang Lemak Rasa VegiBeri","Rp7,300","200 ml"
"92","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium dan Kurang Lemak 51 Tahun","Rp83,300","500 g"
"93","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat 51 Tahun","Rp41,600","250 g"
"94","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp39,200","200 g"
"95","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium Kurang Lemak 51 Tahun","Rp116,300","750 g"
"96","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp116,300","750 g"
"97","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Tawar 51 Tahun","Rp39,200","200 g"
"98","HiLo Active Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat Belgia","Rp52,600","10 x 30 g"
"99","HiLo Yoghurt Smoothie Bowl","Rp69,800","240 g"
"100","HiLo Minuman Teh Thai","Rp7,000","200 ml"
"101","HiLo Ready To Drink Kacang Hijau","Rp7,000","200 ml"
"102","HiLo Ready To Drink Susu Gula Aren","Rp7,000","200 ml"
"103","HiLo Cokelat Taro","Rp6,300","200 ml"
"104","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp85,700","500 g"
"105","Lokalate Kopi Alpukat","Rp20,500","15 g"
