"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Diabtx","Rp53,900","100 g"
"2","Tropicana Slim Pemanis Stevia","Rp63,900","130 g"
"3","Tropicana Slim Pemanis Klasik","Rp50,900","125 g"
"4","Tropicana Slim Pemanis Klasik","Rp123,900","500 g"
"5","Tropicana Slim Pemanis Klasik","Rp26,900","62.5 g"
"6","Tropicana Slim Pemanis Diabtx","Rp97,900","200 g"
"7","Tropicana Slim Pemanis Diabtx","Rp29,900","50 g"
"8","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp69,900","350 ml"
"9","Tropicana Slim Pengganti Kecap Manis","Rp33,900","200 ml"
"10","Tropicana Slim Nutty Chocolate","Rp50,900","200 g"
"11","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp28,900","5 x 20 g"
"12","Tropicana Slim Madu Pemanis","Rp47,900","1 packet"
"13","Tropicana Slim 3-in-1 Cafe Latte","Rp36,900","140 g"
"14","Tropicana Slim Santan","Rp20,900","5 x 20 g"
"15","Tropicana Slim Sweetener Jahe","Rp47,900","100 g"
"16","Tropicana Slim Oat Drink Vanillicious","Rp8,700","190 g"
"17","Tropicana Slim Sweetener Lemongrass Pandan","Rp47,900","100 g"
"18","Tropicana Slim Minyak Goreng Jagung","Rp104,900","1 L"
"19","Tropicana Slim Kopi Putih","Rp24,900","80 g"
"20","Tropicana Slim Selai Stroberi","Rp88,900","375 g"
"21","Tropicana Slim Sirup Bebas Gula Rasa Jeruk","Rp39,900","750 ml"
"22","Tropicana Slim Minyak Goreng Kanola","Rp86,900","946 ml"
"23","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp38,900","180 g"
"24","Tropicana Slim Sirup Bebas Gula Rasa Cocopandan","Rp39,900","750 ml"
"25","Tropicana Slim Susu Skim Original","Rp230,900","1 kg"
"26","Tropicana Slim Sirup Bebas Gula Rasa Leci","Rp39,900","750 ml"
"27","Tropicana Slim Susu Rendah Lemak Tinggi Serat Rasa Coklat","Rp140,900","500 g"
"28","Tropicana Slim Sweet Orange","Rp25,900","60 g"
"29","Tropicana Slim Susu Skim Kopi","Rp138,900","500 g"
"30","Tropicana Slim New Formula Dibuat dengan Susu Skim Rasa Cokelat","Rp138,900","500 g"
"31","Nutrifood Tropicana Slim ","Rp24,900","71 g"
"32","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp140,900","500 g"
"33","Nutrifood Tropicana Slim Avocado Coffee","Rp17,500","14 g"
"34","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp11,900","5 x 14 g"
"35","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Brasil","Rp18,900","10 x 11 g"
"36","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp47,900","500 g"
"37","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Amerika","Rp17,100","140 g"
"38","NutriSari Mangga Gandaria","Rp14,900","10 x 14 g"
"39","NutriSari Minuman Campuran Jeruk & Madu","Rp7,900","200 ml"
"40","L-Men Lose Weight Rasa Cokelat Sereal","Rp143,900","300 g"
"41","L-Men Daily Formula Whey Protein Rasa Cokelat Hitam","Rp62,900","250 g"
"42","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp154,900","500 g"
"43","L-Men Proteinmix 3in1 dengan Kopi","Rp58,900","198 g"
