"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Klasik","Rp79,700","250 g"
"2","Tropicana Slim Pemanis Stevia","Rp60,900","130 g"
"3","Tropicana Slim Pemanis Diabtx","Rp51,500","100 g"
"4","Tropicana Slim Pemanis Klasik","Rp48,900","125 g"
"5","Tropicana Slim Pemanis Diabtx","Rp92,500","200 g"
"6","Tropicana Slim Pemanis Diabtx","Rp27,900","50 g"
"7","Tropicana Slim Pemanis Klasik","Rp119,900","500 g"
"8","Tropicana Slim Pemanis Klasik","Rp33,500","100 g"
"9","Tropicana Slim Pemanis dengan Ekstrak Teh Hijau","Rp29,500","62.5 g"
"10","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp72,900","350 ml"
"11","Tropicana Slim Pengganti Kecap Manis","Rp33,500","200 ml"
"12","Tropicana Slim Nutty Chocolate","Rp48,900","200 g"
"13","Tropicana Slim Dengan Madu Tanpa Gula","Rp72,900","350 ml"
"14","Tropicana Slim Kecap Asin","Rp30,500","200 ml"
"15","Tropicana Slim Kue Keju Hokaido","Rp25,900","100 g"
"16","Tropicana Slim Kukis Goguma Korea","Rp25,900","100 g"
"17","Tropicana Slim Madu Pemanis","Rp51,900","1 packet"
"18","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp25,900","5 x 20 g"
"19","Tropicana Slim Minyak Goreng Kanola","Rp81,900","946 ml"
"20","Tropicana Slim Selai Stroberi","Rp85,900","375 g"
"21","Tropicana Slim Minyak Goreng Jagung","Rp99,900","1 L"
"22","Tropicana Slim Sirup Bebas Gula Rasa Cocopandan","Rp32,500","750 ml"
"23","Tropicana Slim Minyak Goreng Jagung","Rp98,900","1 L"
"24","Tropicana Slim Sirup Bebas Gula Rasa Jeruk","Rp32,500","750 ml"
"25","Tropicana Slim Sirup Bebas Gula Rasa Leci","Rp32,500","750 ml"
"26","Tropicana Slim 3-in-1 Cafe Latte","Rp34,900","140 g"
"27","Tropicana Slim Santan","Rp19,500","5 x 20 g"
"28","Tropicana Slim Susu Rendah Lemak","Rp35,900","180 g"
"29","Tropicana Slim Susu Skim Original","Rp223,900","1 kg"
"30","Tropicana Slim Selai Cokelat","Rp92,500","300 g"
"31","Tropicana Slim Kental Manis","Rp35,900","150 ml"
"32","Tropicana Slim Cocopandan Syrup","Rp32,500","750 ml"
"33","Tropicana Slim New Formula Dibuat dengan Susu Skim Rasa Cokelat","Rp134,900","500 g"
"34","Tropicana Slim Kopi Putih","Rp23,500","80 g"
"35","Tropicana Slim Susu Skim Kopi","Rp134,900","500 g"
"36","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp35,900","180 g"
"37","Tropicana Slim Lychee Syrup","Rp32,500","750 g"
"38","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp134,900","500 g"
"39","Tropicana Slim Sweet Orange","Rp23,500","60 g"
"40","Tropicana Slim Sunflower Oil","Rp99,900","946 ml"
