"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Diabtx","Rp102,600","200 g"
"2","Tropicana Slim Pemanis Klasik","Rp29,300","62.5 g"
"3","Tropicana Slim Pemanis Klasik","Rp83,700","250 g"
"4","Tropicana Slim Pemanis Stevia","Rp67,500","130 g"
"5","Tropicana Slim Pemanis Klasik","Rp36,700","100 g"
"6","Tropicana Slim Pemanis Diabtx","Rp57,200","100 g"
"7","Tropicana Slim Pemanis Lemon C","Rp32,300","62.5 g"
"8","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp80,500","350 ml"
"9","Tropicana Slim Pengganti Kecap Manis","Rp36,600","200 ml"
"10","Tropicana Slim Kecap Asin","Rp30,800","200 ml"
"11","Tropicana Slim Nutty Chocolate","Rp54,300","200 g"
"12","Tropicana Slim Kue Keju Hokaido","Rp28,600","100 g"
"13","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp28,600","5 x 20 g"
"14","Tropicana Slim Dengan Madu Tanpa Gula","Rp80,700","350 ml"
"15","Tropicana Slim Minyak Goreng Jagung","Rp111,400","1 L"
"16","Tropicana Slim Santan","Rp21,300","5 x 20 g"
"17","Tropicana Slim Kental Manis","Rp39,600","150 ml"
"18","Tropicana Slim Kopi Putih","Rp25,700","80 g"
"19","Tropicana Slim Sunflower Oil","Rp111,500","946 ml"
"20","Tropicana Slim Selai Stroberi","Rp95,400","375 g"
"21","Tropicana Slim Selai Cokelat","Rp102,600","300 g"
"22","Tropicana Slim Susu Rendah Lemak","Rp33,800","180 g"
"23","Tropicana Slim Minyak Goreng Kanola","Rp90,900","946 ml"
"24","Tropicana Slim Oat Drink Vanillicious","Rp9,300","190 g"
"25","Tropicana Slim Extra Virgin Olive Oil","Rp114,400","500 ml"
"26","Nutrifood Tropicana Slim ","Rp27,200","71 g"
"27","Nutrifood Tropicana Slim Avocado Coffee","Rp25,600","14 g"
"28","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp145,000","500 g"
