"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp76,990","350 ml"
"2","Tropicana Slim Minyak Goreng Jagung","Rp117,190","1 L"
"3","Tropicana Slim 3-in-1 Cafe Latte","Rp36,390","140 g"
"4","Tropicana Slim Pemanis Diabtx","Rp96,490","200 g"
"5","Tropicana Slim Kue Keju Hokaido","Rp28,790","100 g"
"6","Tropicana Slim Dengan Madu Tanpa Gula","Rp80,790","350 ml"
"7","Tropicana Slim Pemanis Diabtx","Rp51,890","100 g"
"8","Tropicana Slim Sunflower Oil","Rp125,490","946 ml"
"9","Tropicana Slim Susu Skim Kopi","Rp133,190","500 g"
"10","Tropicana Slim Selai Cokelat","Rp96,490","300 g"
"11","Tropicana Slim Pemanis Klasik","Rp51,490","125 g"
"12","Tropicana Slim Pemanis Klasik","Rp27,890","62.5 g"
"13","Tropicana Slim Pemanis Klasik","Rp89,590","250 g"
"14","Tropicana Slim Pemanis Klasik","Rp122,190","500 g"
"15","Tropicana Slim Pemanis Diabtx","Rp29,190","50 g"
"16","Tropicana Slim Extra Virgin Olive Oil","Rp97,190","500 ml"
"17","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp131,790","500 g"
"18","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp18,690","140 g"
"19","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp9,990","5 x 14 g"
"20","NutriSari Serbuk Minuman Jeruk Nipis Australia","Rp17,990","110 g"
"21","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Amerika","Rp18,690","140 g"
"22","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp149,190","500 g"
"23","L-Men Lose Weight Rasa Cokelat Sereal","Rp143,890","12 x 25 g"
"24","L-Men L-Men Platinum Choco Latte","Rp126,890","6 x 33.5 g"
"25","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp179,590","500 g"
"26","L-Men Daily Formula Whey Protein Rasa Cokelat Hitam","Rp61,990","250 g"
"27","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp68,190","225 g"
"28","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp52,190","10 x 35 g"
"29","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp86,390","500 g"
"30","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp84,890","500 g"
"31","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila Karamel","Rp45,190","250 g"
"32","HiLo Gold Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Vanila 51 Tahun","Rp92,290","500 g"
"33","HiLo Teen Minuman Susu Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp8,290","200 ml"
"34","HiLo Gold Susu Bubuk Tawar Tinggi Kalsium Kurang Lemak 51 Tahun","Rp127,890","750 g"
