"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Stevia","Rp59,500","130 g"
"2","Tropicana Slim Pemanis Klasik","Rp49,500","125 g"
"3","Tropicana Slim Pemanis Diabtx","Rp93,500","200 g"
"4","Tropicana Slim Pemanis Klasik","Rp81,500","250 g"
"5","Tropicana Slim Pemanis Diabtx","Rp52,500","100 g"
"6","Tropicana Slim Pemanis Klasik","Rp26,500","62.5 g"
"7","Tropicana Slim Pemanis Diabtx","Rp28,000","50 g"
"8","Tropicana Slim Pemanis dengan Ekstrak Teh Hijau","Rp30,000","62.5 g"
"9","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp74,000","350 ml"
"10","Tropicana Slim Pengganti Kecap Manis","Rp33,500","200 ml"
"11","Tropicana Slim Dengan Madu Tanpa Gula","Rp72,000","350 ml"
"12","Tropicana Slim Kecap Asin","Rp31,000","200 ml"
"13","Tropicana Slim Nutty Chocolate","Rp44,500","200 g"
"14","Tropicana Slim Kue Keju Hokaido","Rp24,700","100 g"
"15","Tropicana Slim Kukis Goguma Korea","Rp27,000","100 g"
"16","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp25,700","5 x 20 g"
"17","Tropicana Slim Madu Pemanis","Rp50,000","1 packet"
"18","Tropicana Slim 3-in-1 Cafe Latte","Rp37,900","140 g"
"19","Tropicana Slim Sirup Bebas Gula Rasa Leci","Rp40,000","750 ml"
"20","Tropicana Slim Selai Stroberi","Rp85,500","375 g"
"21","Tropicana Slim Minyak Goreng Kanola","Rp80,000","946 ml"
"22","Tropicana Slim Sirup Bebas Gula Rasa Jeruk","Rp33,900","750 ml"
"23","Tropicana Slim Susu Rendah Lemak Tinggi Serat Rasa Coklat","Rp134,000","500 g"
"24","Tropicana Slim Fiber Pro Susu Bubuk Rasa Tawar 500ml","Rp134,000","500 g"
"25","Tropicana Slim Susu Skim Original","Rp223,500","1 kg"
"26","Tropicana Slim Minyak Goreng Jagung","Rp95,000","1 L"
"27","Tropicana Slim Santan","Rp19,000","5 x 20 g"
"28","Tropicana Slim Kopi Putih","Rp25,000","80 g"
"29","Tropicana Slim Selai Cokelat","Rp94,000","300 g"
"30","Tropicana Slim Susu Rasa Vanila Rendah Lemak","Rp85,500","500 g"
"31","Tropicana Slim Susu Skim Kopi","Rp134,000","500 g"
"32","Tropicana Slim Sweet Orange","Rp25,000","60 g"
"33","Tropicana Slim Kental Manis","Rp35,500","150 ml"
"34","Tropicana Slim Sunflower Oil","Rp98,500","946 ml"
