"","nama_produk","harga_final","unit"
"1","Tropicana Slim Pemanis Klasik","Rp46,400","125 g"
"2","Tropicana Slim Pemanis Stevia","Rp56,900","130 g"
"3","Tropicana Slim Pemanis Klasik","Rp76,100","250 g"
"4","Tropicana Slim Pemanis Klasik","Rp26,500","62.5 g"
"5","Tropicana Slim Pemanis Diabtx","Rp89,900","200 g"
"6","Tropicana Slim Pemanis Diabtx","Rp49,000","100 g"
"7","Tropicana Slim Pemanis Klasik","Rp117,500","500 g"
"8","Tropicana Slim Pemanis Diabtx","Rp27,500","50 g"
"9","Tropicana Slim Pemanis dengan Ekstrak Teh Hijau","Rp27,500","62.5 g"
"10","Tropicana Slim Pemanis Cair Rasa Gula Jawa","Rp72,500","350 ml"
"11","Tropicana Slim Pengganti Kecap Manis","Rp32,500","200 ml"
"12","Tropicana Slim Dengan Madu Tanpa Gula","Rp77,000","350 ml"
"13","Tropicana Slim Kecap Asin","Rp31,100","200 ml"
"14","Tropicana Slim Kue Keju Hokaido","Rp28,000","100 g"
"15","Tropicana Slim Kukis Goguma Korea","Rp28,000","100 g"
"16","Tropicana Slim Madu Pemanis","Rp50,900","1 packet"
"17","Tropicana Slim Kukis Garlic Butter Korea Bebas Gula","Rp28,000","5 x 20 g"
"18","Tropicana Slim Minyak Goreng Kanola","Rp89,000","946 ml"
"19","Tropicana Slim Sirup Bebas Gula Rasa Cocopandan","Rp29,900","750 ml"
"20","Tropicana Slim Susu Rendah Lemak","Rp31,800","180 g"
"21","Tropicana Slim 3-in-1 Cafe Latte","Rp33,900","140 g"
"22","Tropicana Slim Selai Stroberi","Rp89,900","375 g"
"23","Tropicana Slim Susu Skim Kopi","Rp117,900","500 g"
"24","Tropicana Slim Santan","Rp17,300","5 x 20 g"
"25","Tropicana Slim Minyak Goreng Jagung","Rp106,000","1 L"
"26","Tropicana Slim Sirup Bebas Gula Rasa Jeruk","Rp29,900","750 ml"
"27","Tropicana Slim New Formula Dibuat dengan Susu Skim Rasa Cokelat","Rp117,900","500 g"
"28","Tropicana Slim Susu Rendah Lemak Tinggi Serat Rasa Coklat","Rp117,900","500 g"
"29","Tropicana Slim Selai Cokelat","Rp94,900","300 g"
"30","Tropicana Slim GoldenMil Susu dengan Manuka Honey","Rp35,400","180 g"
"31","Tropicana Slim Kental Manis","Rp30,500","150 ml"
"32","Tropicana Slim Extra Virgin Olive Oil","Rp110,000","500 ml"
"33","Tropicana Slim Sunflower Oil","Rp103,000","946 ml"
"34","Nutrifood Tropicana Slim ","Rp22,800","71 g"
"35","NutriSari Minuman Serbuk Instan Rasa Jeruk Peras","Rp9,200","5 x 14 g"
"36","NutriSari Minuman Serbuk Instan Rasa Jeruk Manis Brasil","Rp17,000","10 x 11 g"
"37","NutriSari Minuman Serbuk Instan Rasa Jeruk Florida","Rp16,000","140 g"
"38","NutriSari Jeruk Jeju Minuman Serbuk","Rp16,000","140 g"
"39","NutriSari Minuman Serbuk Rasa Jeruk Manis","Rp45,800","500 g"
"40","NutriSari Minuman Serbuk Instan Rasa Blewah Renceng","Rp14,300","14 g"
"41","NutriSari Es Rujak","Rp14,300","10 x 13 g"
"42","NutriSari Minuman Campuran Jeruk & Madu","Rp6,900","200 ml"
"43","L-Men Lose Weight Rasa Cokelat Sereal","Rp127,100","300 g"
"44","L-Men Daily Formula Whey Protein Rasa Cokelat Hitam","Rp55,500","250 g"
"45","L-Men Gainmass Susu Nutrisi Tinggi Kalsium Rasa Cokelat untuk Tambahan Olahraga","Rp134,000","500 g"
"46","L-Men Minuman Susu Cokelat Rendah Lemak dengan Protein Whey","Rp11,000","200 ml"
"47","L-Men Advanced Formula Susu Bubuk Rasa Cokelat Vanila","Rp161,800","500 g"
"48","L-Men Proteinmix 3in1 dengan Kopi","Rp49,900","198 g"
"49","L-Men L-Men Platinum Choco Latte","Rp104,000","6 x 33.5 g"
"50","L-Men Advanced Susu Formula Whey Protein Rasa Cappuccino","Rp86,700","250 g"
"51","L-Men Gainmass dengan Protein Whey","Rp63,200","225 g"
"52","HiLo Teen Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp77,400","500 g"
"53","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp43,900","10 x 35 g"
"54","HiLo School Susu Bubuk Tinggi Kalsium Kurang Lemak Rasa Cokelat","Rp71,900","500 g"
